discount,explorationProb,step_size,num_sample_starts,step_multiplier,runtime,maze
0.92,0.49,0.65,3,10,0.005507230758666992,maze970_dim25.txt
0.96,0.6,0.71,16,10,0.005548238754272461,maze970_dim25.txt
0.92,0.59,0.25,12,12,0.005568265914916992,maze970_dim25.txt
0.85,0.55,0.37,8,15,0.005631923675537109,maze970_dim25.txt
0.98,0.46,0.74,3,18,0.006036043167114258,maze970_dim25.txt
0.83,0.4,0.31,9,15,0.0055735111236572266,maze970_dim25.txt
0.84,0.3,0.54,12,18,0.0057604312896728516,maze970_dim25.txt
0.94,0.51,0.75,6,15,0.0064885616302490234,maze970_dim25.txt
0.95,0.58,0.21,14,8,0.005526304244995117,maze970_dim25.txt
0.85,0.35,0.22,10,8,0.005465269088745117,maze970_dim25.txt
1.0,0.46,0.72,11,6,0.005478620529174805,maze970_dim25.txt
0.99,0.36,0.55,10,18,0.005509376525878906,maze970_dim25.txt
0.83,0.33,0.31,17,19,0.0059223175048828125,maze970_dim25.txt
0.97,0.19,0.81,10,17,0.005579471588134766,maze970_dim25.txt
0.91,0.68,0.87,9,16,0.005897998809814453,maze970_dim25.txt
0.93,0.51,0.34,8,5,0.0055081844329833984,maze970_dim25.txt
0.83,0.31,0.89,9,7,0.005526065826416016,maze970_dim25.txt
0.88,0.69,0.13,18,8,0.0056018829345703125,maze970_dim25.txt
0.82,0.53,0.22,7,7,0.006318330764770508,maze970_dim25.txt
0.87,0.3,0.43,8,6,0.005368232727050781,maze970_dim25.txt
0.8,0.12,0.49,17,14,0.005455493927001953,maze970_dim25.txt
0.88,0.59,0.19,20,16,0.005963802337646484,maze970_dim25.txt
0.81,0.42,0.44,6,7,0.005445003509521484,maze970_dim25.txt
0.95,0.4,0.7,9,10,0.0054552555084228516,maze970_dim25.txt
0.93,0.16,0.24,17,9,0.005506992340087891,maze970_dim25.txt
0.92,0.17,0.43,17,6,0.005436897277832031,maze970_dim25.txt
0.94,0.25,0.29,10,5,0.005535125732421875,maze970_dim25.txt
0.84,0.56,0.12,9,16,0.005633354187011719,maze970_dim25.txt
0.93,0.3,0.6,9,18,0.0055887699127197266,maze970_dim25.txt
0.95,0.27,0.52,4,19,0.00553131103515625,maze970_dim25.txt
0.83,0.52,0.66,20,9,0.002128124237060547,maze1443_dim16.txt
0.93,0.58,0.46,11,13,0.002232074737548828,maze1443_dim16.txt
0.86,0.12,0.57,14,5,0.002207517623901367,maze1443_dim16.txt
1.0,0.65,0.31,5,18,0.0021321773529052734,maze1443_dim16.txt
0.88,0.61,0.8,20,19,0.002306699752807617,maze1443_dim16.txt
0.82,0.61,0.45,19,6,0.002278566360473633,maze1443_dim16.txt
0.86,0.7,0.9,17,14,0.002166748046875,maze1443_dim16.txt
